Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	Total Deduplicated Percentage	Basic Statistics status	Per base sequence quality status	Per tile sequence quality status	Per sequence quality scores status	Per base sequence content status	Per sequence GC content status	Per base N content status	Sequence Length Distribution status	Sequence Duplication Levels status	Overrepresented sequences status	Adapter Content status
Lib_LV7009021851_collapsed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3799234	234.8 Mbp	0	30-191	50	95.78327209178785	pass	pass	fail	pass	warn	pass	pass	warn	pass	pass	pass
Lib_LV7009021851_collapsed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3784592	233.4 Mbp	0	30-191	50	95.78532918306769	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Lib_LV7009021851_collapsed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20813742	1.2 Gbp	0	30-191	50	18.375862471341694	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
Lib_LV7009021851_collapsed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3196011	197.4 Mbp	0	30-191	49	95.67662403839954	pass	pass	fail	pass	pass	pass	pass	warn	pass	pass	pass
Lib_LV7009021851_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37351638	3.7 Gbp	0	101	51	21.011713396915642	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	fail
Lib_LV7009021851_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37351638	3.7 Gbp	0	101	54	25.073658481450327	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	fail
Lib_LV7009021851_L001_collapsed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20813742	1.2 Gbp	0	30-191	50	18.375862471341694	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
Lib_LV7009021851_L001_collapsedtrunc.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27094	1.4 Mbp	0	30-190	48	95.5931202480254	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
Lib_LV7009021851_L001_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6133661	619.4 Mbp	0	100-101	53	22.1107152491568	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
Lib_LV7009021851_L001_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	6133661	619.4 Mbp	0	100-101	75	29.91884962672906	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
Lib_LV7009021851_L001_singleton.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	187	18.8 kbp	0	101	71	51.33689839572193	pass	pass	fail	pass	fail	fail	pass	pass	warn	fail	fail
